"Date","Price","Open","High","Low","Change %"
"Aug 02, 2016","2.9915","2.9911","3.0036","2.9810","0.04%"
"Aug 01, 2016","2.9904","2.9936","2.9984","2.9708","0.07%"
"Jul 29, 2016","2.9883","3.0124","3.0259","2.9845","-0.81%"
"Jul 28, 2016","3.0126","3.0182","3.0252","3.0070","-0.20%"
"Jul 27, 2016","3.0187","3.0453","3.0495","3.0145","-0.87%"
"Jul 26, 2016","3.0453","3.0380","3.0526","3.0170","0.28%"
"Jul 25, 2016","3.0369","3.0655","3.0755","3.0200","-0.92%"
"Jul 22, 2016","3.0650","3.0716","3.0819","3.0403","-0.18%"
"Jul 21, 2016","3.0706","3.0894","3.0943","3.0490","-0.62%"
"Jul 20, 2016","3.0899","3.0435","3.0965","3.0100","1.47%"
"Jul 19, 2016","3.0450","2.9800","3.0630","2.9675","2.26%"
"Jul 18, 2016","2.9777","3.0199","3.0199","2.9235","-1.39%"
"Jul 15, 2016","3.0198","2.8774","3.0486","2.8765","4.92%"
"Jul 14, 2016","2.8782","2.8990","2.9050","2.8761","-0.74%"
"Jul 13, 2016","2.8998","2.8855","2.9089","2.8849","0.44%"
"Jul 12, 2016","2.8870","2.9045","2.9065","2.8815","-0.60%"
"Jul 11, 2016","2.9045","2.8914","2.9080","2.8870","0.46%"
"Jul 08, 2016","2.8913","2.9378","2.9410","2.8862","-1.55%"
"Jul 07, 2016","2.9367","2.9371","2.9431","2.9225","-0.01%"
"Jul 06, 2016","2.9371","2.9297","2.9560","2.9235","0.27%"
"Jul 05, 2016","2.9293","2.9068","2.9354","2.9015","0.78%"
"Jul 04, 2016","2.9066","2.9029","2.9093","2.8805","0.16%"
"Jul 01, 2016","2.9019","2.8766","2.9042","2.8697","0.84%"
"Jun 30, 2016","2.8777","2.8918","2.9064","2.8689","-0.40%"
"Jun 29, 2016","2.8892","2.9038","2.9105","2.8833","-0.52%"
"Jun 28, 2016","2.9043","2.9390","2.9415","2.8873","-1.25%"
"Jun 27, 2016","2.9410","2.9285","2.9538","2.9218","0.40%"
"Jun 24, 2016","2.9293","2.8523","3.0057","2.8403","2.61%"
"Jun 23, 2016","2.8548","2.8956","2.8986","2.8527","-1.34%"
"Jun 22, 2016","2.8936","2.9106","2.9190","2.8901","-0.55%"
